date,raw_area,enh1_area,enh2_area,cloud_cover,ice_cover,datetime
2021236,4.2606,4.2606,4.2606,0.06516587677725118,0.0,2021-08-24
2021226,0.0,0.0,0.0,1.0,1.0,2021-08-14
2021061,10.9206,10.9206,10.9206,0.006305789861600197,0.0,2021-03-02
2021330,7.7121,7.7121,7.7121,0.13119740444083952,0.0,2021-11-26
2021243,7.6536,7.6536,7.6536,0.006193759495150169,0.0,2021-08-31
2021355,4.8699,5.7267,8.7912,0.8650858952302591,0.0,2021-12-21
2021111,10.0089,10.0089,10.0089,0.0026008968609865474,0.0,2021-04-21
2021154,14.445,14.445,14.445,0.028920619554695066,0.0,2021-06-03
2021196,7.8795,7.8795,7.8795,0.010063319764812303,0.0,2021-07-15
2021016,5.7033,15.9588,20.0574,0.8188341576374396,0.0,2021-01-16
2021067,10.8351,10.8918,12.996,0.3250168199147791,0.0,2021-03-08
2021311,7.5717,7.5717,7.5717,0.005320406715535588,0.0,2021-11-07
2021091,10.7586,10.7586,10.7586,0.00482850482850483,0.0,2021-04-01
2021216,5.6538,5.6538,5.6538,0.0038058991436726924,0.0,2021-08-04
2021036,10.9386,10.9386,10.9386,0.008079653962294948,0.0,2021-02-05
2021298,7.5051,7.5051,7.5051,0.011966824644549762,0.0,2021-10-25
2021161,2.8674,2.8674,2.8674,0.020596372579157703,0.0,2021-06-10
2021001,9.648,12.5775,14.3271,0.4851104707012488,0.12231865072867203,2021-01-01
2021006,10.8351,10.8351,10.8351,0.012954005083217182,0.0,2021-01-06
2021046,0.0,0.0,0.0,1.0,0.0,2021-02-15
2021010,8.5887,10.071,11.5506,0.31845450649907153,0.0,2021-01-10
2021275,7.6599,7.6599,7.6599,0.009312070771737863,0.0,2021-10-02
2021076,10.8864,10.8864,10.8864,0.004772091492512754,0.0,2021-03-17
2021271,3.6801,7.1532,9.9765,0.6700556765916242,0.004140282513395032,2021-09-28
2021031,10.8504,10.8504,10.8504,0.007082852907264041,0.0,2021-01-31
2022101,0.756,0.756,0.756,0.02665121668597914,0.0,2022-04-11
2022301,14.9436,14.9436,14.9436,0.009603340292275574,0.0,2022-10-28
2022222,9.2196,9.2196,9.2196,0.005340324303330421,0.0,2022-08-10
2022266,11.7756,11.7756,11.7756,0.004489081640416952,0.0,2022-09-23
2022198,8.6202,8.6202,8.6202,0.0021877278883217,0.0,2022-07-17
2022021,8.1405,8.1405,8.1405,0.008006141697740733,0.0,2022-01-21
2022051,8.1288,8.1288,8.1288,0.010191780821917807,0.0022094564737074676,2022-02-20
2022171,0.1908,18.0045,18.9513,0.993794455990399,0.0,2022-06-20
2022157,12.348,12.348,12.348,0.002181818181818182,0.0,2022-06-06
2022331,15.0543,15.0543,15.0543,0.012573789846517119,0.0,2022-11-27
2022031,8.2197,8.2197,8.2197,0.008790970262643803,0.0,2022-01-31
2022106,3.9213,7.0227,8.8974,0.4037224579170658,0.009997727789138832,2022-04-16
2022231,0.0873,5.661,7.542,0.9962078267328669,0.0,2022-08-19
2022116,4.3227,4.3227,4.3227,0.003940273745333886,0.0,2022-04-26
2022197,9.072,9.072,9.072,0.002572729071838512,0.0,2022-07-16
2022325,14.8689,14.8689,14.8689,0.036451650530736034,0.0,2022-11-21
2022029,7.8066,7.8066,7.8066,0.07190241814680076,0.0,2022-01-29
2022036,8.2584,8.2584,8.2584,0.10021572857423024,0.00043572984749455336,2022-02-05
2022213,8.9658,8.9658,8.9658,0.0038,0.0,2022-08-01
2022333,14.8689,14.8689,14.8689,0.02283078015023363,0.0,2022-11-29
2022294,14.391,14.391,14.391,0.01823540246822619,0.0,2022-10-21
2022030,0.0072,36.909,14.8185,0.9998009702699342,0.9157894736842105,2022-01-30
2022150,13.2957,13.2957,13.2957,0.0028349645629429632,0.0,2022-05-30
2022176,0.7803,6.0048,9.2853,0.9646411092985318,0.0,2022-06-25
2022046,8.0946,8.0946,8.0946,0.01262487649577341,0.0,2022-02-15
2022013,7.8219,7.8219,7.8219,0.0674892703862661,0.0,2022-01-13
2022318,14.7312,14.7312,14.7312,0.04045022863172705,0.0,2022-11-14
2022066,7.9344,7.9344,7.9344,0.006871690886560775,0.0,2022-03-07
2022071,8.0964,8.0964,8.0964,0.009360202620856736,0.0,2022-03-12
2022342,14.9436,14.9436,14.9436,0.025644034974473328,0.0,2022-12-08
2022336,3.5991,3.5991,3.5991,0.05950141110065852,0.7675810763687086,2022-12-02
2022361,7.9461,7.9461,7.9461,0.06224110462028678,0.4957450454052202,2022-12-27
2022102,7.704,7.704,7.704,0.005113900511390052,0.0,2022-04-12
2022141,9.7452,9.7452,9.7452,0.001843657817109144,0.0,2022-05-21
2022045,8.0631,8.0631,8.0631,0.06345389922642693,0.0,2022-02-14
2022226,0.0,0.0,0.0,1.0,0.0,2022-08-14
2022221,6.9543,6.9543,6.9543,0.06237107147190875,0.0,2022-08-09
2022291,15.0831,15.4359,17.1234,0.17357857882538585,0.00029825817227392026,2022-10-18
2022346,8.8704,12.6396,15.3828,0.4869338885996876,0.004746036554579421,2022-12-12
2022181,11.2374,11.2374,11.2374,0.0023172193367958453,0.0,2022-06-30
