date,raw_area,enh1_area,enh2_area,cloud_cover,ice_cover,datetime
2016125,39.4983,39.4983,39.4983,0.0005237986791163744,0.0,2016-05-04
2016102,44.4636,44.4636,44.4636,0.004593810444874275,0.0,2016-04-11
2016269,5.418,20.2239,37.9629,0.9370470682966107,0.0,2016-09-25
2016246,22.0545,22.0545,22.0545,0.12356938483547926,0.0,2016-09-02
2016214,28.5606,28.5606,28.5606,0.000378000378000378,0.0,2016-08-01
2016045,45.3879,45.3879,45.3879,0.024507717900112188,0.0,2016-02-14
2016198,31.0275,31.0275,31.0275,0.00011601264537834624,0.0,2016-07-16
2016185,5.5944,25.8525,42.8409,0.9518255302989204,0.0,2016-07-03
2016086,47.1222,47.1222,47.1222,0.006168972913463546,0.0,2016-03-26
2016150,37.4229,37.4229,37.4229,0.001177035791496517,0.0,2016-05-29
2016315,5.0706,18.963,26.5455,0.9542509135200975,0.0007094714437743882,2016-11-10
2016025,6.381,27.2205,44.2944,0.9455933699113686,0.0,2016-01-25
2016141,36.9819,36.9819,36.9819,0.0005107997664915352,0.0,2016-05-20
2016077,47.1267,47.1267,47.1267,0.0032170867280895458,0.0,2016-03-17
2016068,1.0368,37.4157,37.9989,0.9920455722423615,0.6282671829622459,2016-03-08
2016182,17.5878,24.5151,37.9638,0.7946621834611748,0.0,2016-06-30
2016008,0.3141,32.3937,114.5142,0.9972302686401333,0.0,2016-01-08
2016218,0.4167,92.6784,67.9806,0.9947191933938592,0.0,2016-08-05
2016245,11.8098,23.3046,34.308,0.889587277546384,0.0,2016-09-01
2016054,41.2902,45.1575,52.0623,0.5651910191161278,0.0,2016-02-23
2016173,36.4824,36.4824,36.4824,0.00019731649565903712,0.0,2016-06-21
2016301,22.4793,22.4793,22.4793,0.0755080134729985,0.0,2016-10-27
2016070,46.8927,46.8927,46.8927,0.007316097319336218,0.0,2016-03-10
2016221,26.3061,26.3061,26.3061,0.00037619699042407666,0.0,2016-08-08
2016115,0.2025,26.8695,39.7269,0.9984672398054417,0.0,2016-04-24
2016166,35.2071,35.2071,35.2071,0.0007663030984188614,0.0,2016-06-14
2016298,21.9825,21.9825,21.9825,0.009368916288124595,0.0002046663937781416,2016-10-24
2016237,22.3803,22.3803,22.3803,0.000522508038585209,0.0,2016-08-24
2016085,5.4405,28.0179,56.385,0.9537313432835821,0.0,2016-03-25
2016138,25.7688,28.5318,42.6672,0.7290996480339098,0.047409921149815355,2016-05-17
2016365,0.0,0.0,0.0,1.0,0.0,2016-12-30
2016278,21.7368,21.7368,21.7368,0.003630363036303631,0.0,2016-10-04
2016118,40.9203,40.9203,40.9203,0.0011862656795764593,0.0,2016-04-27
2016258,17.0478,25.1118,34.3863,0.582674216219789,0.11257905832747717,2016-09-14
2016013,39.3003,39.3003,39.3003,0.09102830974188178,0.0,2016-01-13
2016093,44.9208,44.9208,44.9208,0.009328728514151879,0.0,2016-04-02
2016038,42.9741,42.9741,42.9741,0.0031732114152105383,0.0,2016-02-07
2016134,38.9943,38.9943,38.9943,0.00036914842073691246,0.0,2016-05-13
2016262,20.6406,20.6406,20.6406,0.0014803204458376873,0.0,2016-09-18
2016342,12.0339,18.0378,32.4729,0.9029236878979504,0.0,2016-12-07
2016109,43.0137,43.0137,43.0137,0.04302991470105322,0.0,2016-04-18
2016029,43.875,43.875,43.875,0.059461336626022536,0.0,2016-01-29
2016265,1.4967,18.513,34.2207,0.9880070673926369,0.0006009615384615385,2016-09-21
2016225,0.0243,24.0363,20.4507,0.999796400051277,0.0,2016-08-12
2016165,8.5113,27.5805,43.8993,0.9260628899347958,0.0,2016-06-13
2016294,21.8583,21.8583,21.8583,0.015005880682970355,0.0,2016-10-20
2016345,16.4646,24.0993,33.9786,0.8190397056205115,0.14385997753650318,2016-12-10
2016355,7.1865,21.9276,31.9041,0.9312982353497897,0.3405731274258816,2016-12-20
2016349,24.2388,24.5394,39.7098,0.8125687243371147,0.0,2016-12-14
2016238,23.7366,23.7366,23.7366,0.0026471033126607172,0.0,2016-08-25
2016158,35.973,35.973,35.973,0.010398613518197574,0.0,2016-06-06
2016253,21.0519,21.0519,21.0519,0.0007262474367737525,0.0,2016-09-09
2016317,23.8176,23.8176,23.8176,0.2116770926422401,0.0,2016-11-12
2016098,2.0466,57.4173,55.9926,0.9845378699793973,0.0,2016-04-07
2016338,2.1285,49.2633,64.1214,0.9726867464313761,0.0,2016-12-03
2016157,34.1559,34.1559,34.1559,0.0002897634476581845,0.0,2016-06-05
2016006,32.5404,33.3693,44.5518,0.6092890565059056,0.0,2016-01-06
2016022,42.6348,42.6348,42.6348,0.07521717911176183,0.0,2016-01-22
2016333,15.6528,24.8679,33.714,0.8329138245748872,0.0,2016-11-28
2016205,27.711,27.711,27.711,0.000714007529533948,0.0,2016-07-23
2016335,18.2403,23.6106,28.089,0.8000177612882854,9.867285016527702e-05,2016-11-30
2016318,23.4054,23.4054,23.4054,0.0023401235278321247,0.0,2016-11-13
2016358,29.2734,29.2734,29.2734,0.14285714285714288,0.0,2016-12-23
2016328,24.1785,24.1785,24.1785,0.0028950005567308762,0.0,2016-11-23
2016061,42.8013,42.8013,42.8013,0.05364853839571767,0.0,2016-03-01
2016230,23.751,23.751,23.751,0.0009464319515426839,0.0,2016-08-17
2016189,22.8231,32.1831,42.552,0.4873448429224113,0.0,2016-07-07
2016326,0.0,0.0,0.0,1.0,0.0,2016-11-21
2016305,7.2099,22.446,33.8355,0.9335081880130477,0.1586851501785339,2016-10-31
2016285,20.5623,20.5623,20.5623,0.002706359945872801,0.0,2016-10-11
2016178,29.8044,32.0661,42.9417,0.5784784185939946,3.0195971857354224e-05,2016-06-26
2017223,4.9536,19.9746,35.1108,0.9624195167248172,0.0,2017-08-11
2017049,0.0,0.0,0.0,1.0,0.0,2017-02-18
2017159,48.9771,48.9771,48.9771,0.0004959041986555486,0.0,2017-06-08
2017292,38.4282,38.4282,38.4282,0.0048941922252260656,2.341975221902152e-05,2017-10-19
2017059,6.0552,24.8868,41.6772,0.9473655388226091,0.0,2017-02-28
2017175,49.1976,49.1976,49.1976,0.00047540683854452363,0.0,2017-06-24
2017168,40.3614,40.3614,40.3614,0.00011148023455441349,0.0,2017-06-17
2017344,40.5531,42.885,53.2764,0.22199392223219835,0.0,2017-12-10
2017031,35.1189,35.1189,35.1189,0.10978030251180619,0.0,2017-01-31
2017088,30.1032,35.7984,43.5006,0.49925145218276545,0.0,2017-03-29
2017008,30.6873,30.6873,30.6873,0.13713432533657255,0.0,2017-01-08
2017279,19.7253,28.8612,40.0392,0.8095531881614848,0.0,2017-10-06
2017217,44.3502,45.2151,51.2622,0.3351412612320894,0.0009123532631835046,2017-08-05
2017192,45.9738,45.9738,45.9738,0.0057418689296767035,0.0,2017-07-11
2017232,0.0369,31.4397,121.653,0.9997247084259365,0.0,2017-08-20
2017364,16.7652,34.4646,53.064,0.8514537248209758,0.0,2017-12-30
2017197,35.955,43.7013,51.7419,0.33434417488669693,0.0,2017-07-16
2017264,33.1605,33.1605,33.1605,0.03916864422249459,0.0,2017-09-21
2017079,28.5453,37.6506,45.1233,0.3477491928352561,0.0,2017-03-20
2017234,28.7046,34.2747,43.9002,0.7107854694499356,0.0,2017-08-22
2017357,0.2709,36.3762,50.1588,0.9979531746193652,0.0,2017-12-23
2017257,37.0062,37.0062,37.0062,0.002014514210820126,0.0,2017-09-14
2017252,0.2421,45.9819,61.3962,0.9974614498990243,0.0,2017-09-09
2017239,36.594,36.594,36.594,0.0004916420845624385,0.0,2017-08-27
2017179,1.9872,30.7026,53.4807,0.9837602877253371,0.0,2017-06-28
2017029,0.7974,23.2542,43.1766,0.9934953858352116,0.0,2017-01-29
2017360,46.4607,46.4607,46.4607,0.0582665961289381,0.0,2017-12-26
2017277,18.3051,30.4641,41.778,0.8172087463714063,0.000982366520948966,2017-10-04
2017328,41.3685,41.3685,41.3685,0.05127040805795785,0.0,2017-11-24
2017297,38.6694,38.6694,38.6694,0.0024378352023403218,0.0,2017-10-24
2017237,40.2093,40.2093,40.2093,0.032776947890281655,0.0,2017-08-25
2017132,42.6897,42.6897,42.6897,0.001767788370477934,4.216295983978075e-05,2017-05-12
2017182,47.4984,47.4984,47.4984,0.011722407400471892,0.0,2017-07-01
2017287,33.3504,33.3504,33.3504,0.0010513546300040437,0.0,2017-10-14
2017032,34.3503,34.3503,34.3503,0.013747125248714439,0.0,2017-02-01
2017042,31.959,31.959,31.959,0.09636867954296766,0.07727886914042201,2017-02-11
2017095,41.5017,41.5017,41.5017,0.0045548743631810724,0.0,2017-04-05
2017312,29.511,37.5435,47.9286,0.5944040374053733,0.009335629475210733,2017-11-08
2017296,38.1789,38.1789,38.1789,0.0026332494768767783,0.0,2017-10-23
2017322,29.1996,34.812,42.6429,0.22032106123233683,0.25199428228892884,2017-11-18
2017184,43.9578,43.9578,43.9578,0.00024562983583739303,0.0,2017-07-03
2017200,32.5557,39.8934,105.228,0.664940718784735,0.0,2017-07-19
2017072,37.6596,37.6596,37.6596,0.0031446540880503146,0.0,2017-03-13
2017314,1.9296,26.7903,44.0973,0.984051060411072,0.015610651974288337,2017-11-10
2017335,0.0,0.0,0.0,1.0,0.0,2017-12-01
2017303,38.3238,38.3238,38.3238,0.02643010654350908,0.0,2017-10-30
2017274,0.1116,25.0992,36.27,0.9991269511585499,0.0,2017-10-01
2017152,41.1858,41.1858,41.1858,0.05022622556141298,0.0001529419476064585,2017-06-01
2017207,44.3115,44.3115,44.3115,0.022843647044814036,0.0,2017-07-26
2017191,44.9487,44.9487,44.9487,0.00040029621920220957,0.0,2017-07-10
2017332,41.913,41.913,41.913,0.0023778410916647035,0.0,2017-11-28
2017002,14.103,25.3395,39.951,0.692666758193265,0.5377308395775562,2017-01-02
2017136,43.7256,43.7256,43.7256,0.10745319934598498,0.0,2017-05-16
2017092,36.5049,36.9963,42.138,0.5320982384902003,2.465361668556777e-05,2017-04-02
2017111,42.4566,42.4566,42.4566,0.0006143677308645637,0.0,2017-04-21
2017272,27.8154,34.3719,41.3856,0.40471512770137524,0.00045278137128072445,2017-09-29
2017024,30.24,30.24,30.24,0.16583912611717974,0.0,2017-01-24
2017334,0.216,123.1335,87.6861,0.9983565358514855,0.40298507462686567,2017-11-30
2017359,16.7409,29.6415,50.3766,0.8471506635441062,0.12945195862779052,2017-12-25
2017352,9.2952,30.9483,99.2124,0.9224420831299516,0.0001936108422071636,2017-12-18
2017299,23.8095,31.4739,43.9236,0.7962319666638424,0.0,2017-10-26
2017056,37.764,37.764,37.764,0.06387345782299265,0.0,2017-02-25
2017199,15.5781,31.8276,50.9247,0.859703016843095,0.0,2017-07-18
2017120,43.5933,43.5933,43.5933,0.014085367094791265,0.0,2017-04-30
2017104,32.5548,35.8686,46.2753,0.632909465479972,0.0,2017-04-14
2017271,0.0,0.0,0.0,1.0,1.0,2017-09-28
2017012,13.356,27.6696,44.3223,0.8881114663128054,0.005295261076479657,2017-01-12
2017194,32.2632,37.7181,56.7081,0.7283336869865713,0.0,2017-07-13
2017063,40.0716,40.0716,40.0716,0.03790137862483253,0.0,2017-03-04
2017112,39.8259,39.8259,39.8259,0.0020747355839704127,0.0,2017-04-22
