datetime,raw_area,cloud_cover,ice_cover,lake_area,smoothed_area,flag
2016-01-13,39.3003,0.0910283097418817,0,43.22126145299183,43.862084530471115,I
2016-01-22,42.6348,0.0752171791117618,0,42.6348,43.76010451864231,E
2016-01-25,6.381,0.9455933699113686,0,44.2944,43.72251992953188,E
2016-01-29,43.875,0.0594613366260225,0,43.875,43.66938592608795,E
2016-02-07,42.9741,0.0031732114152105,0,42.9741,43.535809059897616,O
2016-02-14,45.3879,0.0245077179001121,0,45.3879,43.416487170305004,E
2016-02-23,41.2902,0.5651910191161278,0,43.22385,43.24051338620616,E
2016-03-01,42.8013,0.0536485383957176,0,42.8013,43.08485818963711,E
2016-03-08,1.0368,0.9920455722423616,0,43.91121759341568,42.91417906286599,I
2016-03-10,46.8927,0.0073160973193362,0,43.92395392329008,42.863526516667044,O
2016-03-17,47.1267,0.0032170867280895,0,44.00073053663443,42.68397358121276,O
2016-03-25,5.4405,0.953731343283582,0,43.79499162533587,42.299326761086455,I
2016-03-26,47.1222,0.0061689729134635,0,43.76927426142355,42.26816253221392,O
2016-04-02,44.9208,0.0093287285141518,0,44.92080000000001,41.92884238526692,O
2016-04-07,2.0466,0.9845378699793972,0,43.21167439528925,41.609599688438934,I
2016-04-11,44.4636,0.0045938104448742,0,44.46360000000001,41.40253267631016,O
2016-04-18,43.0137,0.0430299147010532,0,43.0137,40.90184826986307,E
2016-04-24,0.2025,0.9984672398054416,0,39.7269,40.454381785970895,E
2016-04-27,40.9203,0.0011862656795764,0,40.9203,40.18143761239109,O
2016-05-04,39.4983,0.0005237986791163,0,39.4983,39.55048200245757,O
2016-05-13,38.9943,0.0003691484207369,0,38.9943,38.52795057164207,O
2016-05-17,25.7688,0.7290996480339098,0,38.44067561275071,38.06375629978794,I
2016-05-20,36.9819,0.0005107997664915,0,36.9819,37.69117576173659,O
2016-05-29,37.4229,0.0011770357914965,0,37.4229,36.57785950263259,O
2016-06-05,34.1559,0.0002897634476581,0,34.1559,35.69368673759866,O
2016-06-06,35.973,0.0103986135181975,0,35.973,35.569315147323266,E
2016-06-13,8.5113,0.9260628899347958,0,34.792898123402736,34.65738777441673,I
2016-06-14,35.2071,0.0007663030984188,0,35.2071,34.518434335514115,O
2016-06-21,36.4824,0.000197316495659,0,36.4824,33.563529549139915,O
2016-06-26,29.8044,0.5784784185939946,0,32.0661,32.881707420691605,E
2016-06-30,17.5878,0.7946621834611748,0,32.32216812448937,32.29105708307415,I
2016-07-03,5.5944,0.9518255302989204,0,31.873672968974997,31.869049510456065,I
2016-07-07,22.8231,0.4873448429224113,0,32.1831,31.291318582894277,E
2016-07-16,31.0275,0.0001160126453783,0,31.0275,29.929461341497753,O
2016-07-23,27.711,0.0007140075295339,0,27.711,28.878613728943908,O
2016-08-01,28.5606,0.0003780003780003,0,28.560600000000004,27.52940859416897,O
2016-08-05,0.4167,0.9947191933938592,0,26.778019678672045,26.980077023511544,I
2016-08-08,26.3061,0.000376196990424,0,26.3061,26.537646062601752,O
2016-08-12,0.0243,0.999796400051277,0,24.0363,26.041673014030827,E
2016-08-17,23.751,0.0009464319515426,0,23.751,25.507159871356798,O
2016-08-24,22.3803,0.0005225080385852,0,22.380299999999995,24.674266355146507,O
2016-08-25,23.7366,0.0026471033126607,0,23.7366,24.55239462390317,O
2016-09-01,11.8098,0.889587277546384,0,23.3046,23.9495489996313,E
2016-09-02,22.0545,0.1235693848354792,0,22.0545,23.91317159507996,E
2016-09-09,21.0519,0.0007262474367737,0,21.0519,23.607453803803505,O
2016-09-14,17.0478,0.582674216219789,0,25.1118,23.211174343682355,E
2016-09-18,20.6406,0.0014803204458376,0,20.6406,22.896564525843342,O
2016-09-21,1.4967,0.9880070673926368,0,22.123691039019022,22.846703477471696,I
2016-09-25,5.418,0.9370470682966108,0,20.2239,22.628022643239547,E
2016-10-04,21.7368,0.0036303630363036,0,21.7368,22.36249166200267,O
2016-10-11,20.5623,0.0027063599458728,0,20.5623,22.298858324578884,O
2016-10-20,21.8583,0.0150058806829703,0,21.8583,22.37877859690977,E
2016-10-24,21.9825,0.0093689162881245,0,21.9825,22.56923281648368,O
2016-10-27,22.4793,0.0755080134729985,0,22.4793,22.72694612166296,E
2016-10-31,7.2099,0.9335081880130476,0,22.446,23.04081565905109,E
2016-11-10,5.0706,0.9542509135200976,0,26.5455,23.848318023367572,E
2016-11-12,23.8176,0.2116770926422401,0,23.8176,24.03466195974416,E
2016-11-13,23.4054,0.0023401235278321,0,23.4054,24.14309829362536,O
2016-11-23,24.1785,0.0028950005567308,0,24.1785,25.213941870211315,O
2016-11-28,15.6528,0.8329138245748872,0,24.8679,25.782963354828617,E
2016-11-30,18.2403,0.8000177612882854,0,25.849800000000002,26.005875666665574,E
2016-12-03,2.1285,0.972686746431376,0,26.47392961998162,26.358377904787613,I
2016-12-07,12.0339,0.9029236878979504,0,26.95093449077414,26.827676399220003,I
2016-12-10,16.4646,0.8190397056205115,0,27.30868814386853,27.18910693872284,I
2016-12-14,24.2388,0.8125687243371147,0,27.785693014661046,27.71094713293717,I
2016-12-20,7.1865,0.9312982353497896,0,28.501200320849826,28.509739812319996,I
2016-12-23,29.2734,0.1428571428571428,0,29.2734,28.9154758456151,E
2017-01-02,14.103,0.692666758193265,0,30.194409522303893,30.264948972721694,I
2017-01-08,30.6873,0.1371343253365725,0,30.687300000000004,31.064420284240413,E
2017-01-12,13.356,0.8881114663128054,0,31.532347369641634,31.595917779864536,I
2017-01-19,0.1647,0.9987263806242822,0,32.47151027670501,32.515174182922046,I
